#node1,node2,node1_string_id,node2_string_id,homology,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score,,
CDC5L,DHX15,9606.ENSP00000360532,9606.ENSP00000336741,0,953,0,0,953,,CASZ1
CDC5L,SPTBN1,9606.ENSP00000360532,9606.ENSP00000349259,0,409,0,0,408,,CCDC3
CDC5L,TOP2A,9606.ENSP00000360532,9606.ENSP00000411532,0,459,0,0,459,,CCDC69
CDC5L,LSM4,9606.ENSP00000360532,9606.ENSP00000469468,0,800,0,0,800,,CCL15-CCL14///CCL14
CDH11,CTNNA1,9606.ENSP00000268603,9606.ENSP00000304669,0,42,540,0,540,,CCL28
CFL1,UBE2M,9606.ENSP00000432660,9606.ENSP00000253023,0,457,0,0,457,,CCL28
CFL1,TWF1,9606.ENSP00000432660,9606.ENSP00000449428,0,518,0,0,518,,CCL3L3///CCL3L1///CCL3
CIDEA,CIDEC,9606.ENSP00000320209,9606.ENSP00000373328,0,292,900,0,926,,CCNG2
CITED2,TFAP2A,9606.ENSP00000444198,9606.ENSP00000501092,0,457,700,0,830,,CCT2
CLDN3,CLDN8,9606.ENSP00000378577,9606.ENSP00000382783,0,0,650,0,650,,CD24
CLDND1,GOLGA7,9606.ENSP00000377735,9606.ENSP00000350378,0,646,0,0,646,,CD300LG
COL10A1,COL8A1,9606.ENSP00000327368,9606.ENSP00000261037,0,0,540,0,540,,CD36
COL10A1,CRTAP,9606.ENSP00000327368,9606.ENSP00000323696,0,163,500,0,563,,CD36
COL10A1,COL12A1,9606.ENSP00000327368,9606.ENSP00000325146,0,164,400,0,476,,CD36
COL10A1,COL8A2,9606.ENSP00000327368,9606.ENSP00000380901,0,0,400,0,400,,CD36
COL10A1,P4HB,9606.ENSP00000327368,9606.ENSP00000327801,0,363,500,0,667,,CD46
COL11A1,COL1A1,9606.ENSP00000359114,9606.ENSP00000225964,0,0,720,0,720,,CD46
COL11A1,COL1A2,9606.ENSP00000359114,9606.ENSP00000297268,0,0,900,0,900,,CD74
COL11A1,COL3A1,9606.ENSP00000359114,9606.ENSP00000304408,0,0,720,0,720,,CDC42SE1
COL11A1,CRTAP,9606.ENSP00000359114,9606.ENSP00000323696,0,0,500,0,499,,CDC5L
COL11A1,P4HB,9606.ENSP00000359114,9606.ENSP00000327801,0,0,500,0,499,,CDH11
COL11A1,COL5A1,9606.ENSP00000359114,9606.ENSP00000360882,0,0,720,0,720,,CDH11
COL11A1,COL5A2,9606.ENSP00000359114,9606.ENSP00000364000,0,0,720,0,720,,CDH11
COL12A1,COL8A1,9606.ENSP00000325146,9606.ENSP00000261037,0,0,400,0,400,,CDO1
COL12A1,CRTAP,9606.ENSP00000325146,9606.ENSP00000323696,0,0,500,0,499,,CELSR1
COL12A1,P4HB,9606.ENSP00000325146,9606.ENSP00000327801,0,0,500,0,499,,CENPU
COL12A1,COL8A2,9606.ENSP00000325146,9606.ENSP00000380901,0,206,400,0,503,,CFD
COL1A1,P4HB,9606.ENSP00000225964,9606.ENSP00000327801,0,292,500,0,630,,CFL1
COL1A1,CRTAP,9606.ENSP00000225964,9606.ENSP00000323696,0,292,500,0,630,,CGGBP1
COL1A1,FN1,9606.ENSP00000225964,9606.ENSP00000346839,0,483,0,0,483,,CHRDL1
COL1A1,THBS1,9606.ENSP00000225964,9606.ENSP00000260356,0,457,0,0,457,,CIDEA
COL1A1,COL5A1,9606.ENSP00000225964,9606.ENSP00000360882,0,230,720,0,775,,CIDEC
COL1A1,COL5A2,9606.ENSP00000225964,9606.ENSP00000364000,0,0,720,0,720,,CILP
COL1A1,COL3A1,9606.ENSP00000225964,9606.ENSP00000304408,0,0,900,0,900,,CITED2
COL1A1,COL1A2,9606.ENSP00000225964,9606.ENSP00000297268,0,492,900,0,947,,CKS2
COL1A2,P4HB,9606.ENSP00000297268,9606.ENSP00000327801,0,0,500,0,499,,CLDN3
COL1A2,CRTAP,9606.ENSP00000297268,9606.ENSP00000323696,0,0,500,0,499,,CLDN8
COL1A2,COL5A1,9606.ENSP00000297268,9606.ENSP00000360882,0,230,720,0,775,,CLDND1
COL1A2,COL5A2,9606.ENSP00000297268,9606.ENSP00000364000,0,0,720,0,720,,CLIC6
COL1A2,COL3A1,9606.ENSP00000297268,9606.ENSP00000304408,0,229,900,0,919,,CLIC6
COL3A1,CRTAP,9606.ENSP00000304408,9606.ENSP00000323696,0,0,500,0,499,,CNN3
COL3A1,P4HB,9606.ENSP00000304408,9606.ENSP00000327801,0,0,500,0,499,,CNTNAP3B///CNTNAP3P2///CNTNAP3
COL3A1,COL5A1,9606.ENSP00000304408,9606.ENSP00000360882,0,0,720,0,720,,COL10A1
COL3A1,COL5A2,9606.ENSP00000304408,9606.ENSP00000364000,0,0,720,0,720,,COL10A1
COL5A1,TGFB1,9606.ENSP00000360882,9606.ENSP00000221930,0,405,0,0,404,,COL11A1
COL5A1,CRTAP,9606.ENSP00000360882,9606.ENSP00000323696,0,0,500,0,499,,COL11A1
COL5A1,P4HB,9606.ENSP00000360882,9606.ENSP00000327801,0,0,500,0,499,,COL12A1
COL5A1,COL5A2,9606.ENSP00000360882,9606.ENSP00000364000,0,0,800,0,800,,COL12A1
COL5A2,CRTAP,9606.ENSP00000364000,9606.ENSP00000323696,0,0,500,0,499,,COL12A1
COL5A2,P4HB,9606.ENSP00000364000,9606.ENSP00000327801,0,0,500,0,499,,COL1A1
COL6A1,CRTAP,9606.ENSP00000355180,9606.ENSP00000323696,0,0,500,0,499,,COL1A1
COL6A1,P4HB,9606.ENSP00000355180,9606.ENSP00000327801,0,0,500,0,499,,COL1A2
COL6A1,COL6A6,9606.ENSP00000355180,9606.ENSP00000351310,0,0,400,0,400,,COL3A1
