ID	Gene.symbol	Gene.title	log2(fold change)	-log(pvalue)
212563_at	MIR7112///BOP1	microRNA 7112///block of proliferation 1	-1.45	3.552
215292_s_at	MKL1	megakaryoblastic leukemia (translocation) 1	-1.474	3.488
204475_at	MMP1	matrix metallopeptidase 1	-4.626	3.429
205680_at	MMP10	matrix metallopeptidase 10	-4.39	4.063
221381_s_at	MORF4L1	mortality factor 4 like 1	-0.697	3.521
212185_x_at	MT2A	metallothionein 2A	-1.356	3.546
222153_at	MYEF2	myelin expression factor 2	1.554	3.891
222771_s_at	MYEF2	myelin expression factor 2	2.758	4.249
232676_x_at	MYEF2	myelin expression factor 2	2.876	4.29
204601_at	N4BP1	NEDD4 binding protein 1	-1.212	4.404
218200_s_at	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	-0.62	3.365
235321_at	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	1.333	3.368
236356_at	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	0.995	4.503
205895_s_at	NOLC1	nucleolar and coiled-body phosphoprotein 1	-1.314	4.008
211949_s_at	NOLC1	nucleolar and coiled-body phosphoprotein 1	-1.015	4.018
223405_at	NPL	N-acetylneuraminate pyruvate lyase	1.803	4.215
242303_at	NRG2	neuregulin 2	1.829	5.077
202599_s_at	NRIP1	nuclear receptor interacting protein 1	-1.172	3.447
222900_at	NRIP3	nuclear receptor interacting protein 3	-1.501	3.362
218622_at	NUP37	nucleoporin 37	-1.013	3.497
218295_s_at	NUP50	nucleoporin 50	-0.718	4.487
222583_s_at	NUP50	nucleoporin 50	-0.754	3.948
218708_at	NXT1	nuclear transport factor 2 like export factor 1	-1.241	3.859
201599_at	OAT	ornithine aminotransferase	0.786	3.716
215952_s_at	OAZ1	ornithine decarboxylase antizyme 1	-1.166	4.153
225225_at	OIP5-AS1	OIP5 antisense RNA 1	0.739	3.355
202093_s_at	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component	-0.64	3.415
1559052_s_at	PAK2	p21 (RAC1) activated kinase 2	-1.137	3.373
218969_at	PAM16	presequence translocase associated motor 16 homolog	-1.187	3.402
226649_at	PANK1	pantothenate kinase 1	1.929	3.434
221751_at	PANK3	pantothenate kinase 3	0.982	3.678
225809_at	PARM1	prostate androgen-regulated mucin-like protein 1	1.53	4.137
210022_at	PCGF1	polycomb group ring finger 1	-1.101	3.932
210023_s_at	PCGF1	polycomb group ring finger 1	-1.239	3.721
219275_at	PDCD5	programmed cell death 5	-0.831	5.667
211048_s_at	PDIA4	protein disulfide isomerase family A member 4	-0.776	3.484
202671_s_at	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase	-2.239	4.781
222492_at	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase	-1.159	4.41
209493_at	PDZD2	PDZ domain containing 2	2.91	6.083
210825_s_at	PEBP1	phosphatidylethanolamine binding protein 1	0.52	3.975
218336_at	PFDN2	prefoldin subunit 2	-0.797	4.731
213227_at	PGRMC2	progesterone receptor membrane component 2	1.623	3.609
215129_at	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma	1.919	4.555
1553917_at	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing	0.519	3.502
201251_at	PKM	pyruvate kinase, muscle	-1.065	3.461
210845_s_at	PLAUR	plasminogen activator, urokinase receptor	-2.835	4.673
211924_s_at	PLAUR	plasminogen activator, urokinase receptor	-2.82	4.087
