symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PDGFRB	0.6377506848725979	0.577348173633657	No data	No data	0	No data	No data	No data	No data	No data	No data	0.8973450208690622	No data	No data	No data	No data	No data	No data	0.3316223677633478	No data	No data	1	0	0	1	1	0	0.2721499999999999	1	-0.6833976833976834	-0.9833156589750258	0	255	No data	0	-1	0
TET2	0.6366536032424412	No data	0.17215449453263496	0.41938472922027376	No data	No data	No data	No data	No data	No data	No data	0.9165821451095187	No data	No data	No data	No data	No data	No data	0.5352183732877202	No data	No data	No data	0	0	1	1	0	0	No data	0.9997793712079426	-0.8804406422285638	0	No data	255	0	-1	0
STK11	0.6360157166387815	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.8658766276917661	No data	0.6058199267865807	No data	No data	No data	No data	0.9131048039415633	No data	0.6859785576708279	No data	0	0	1	1	0	0.5265599999999999	No data	-0.8335355763927192	-0.9517288755129946	0	255	255	0	-1	-1
PBRM1	0.6353863281777848	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.8553375735330006	0.7439969365529143	No data	No data	No data	No data	No data	0.17214548969312932	No data	No data	No data	0	0	1	1	1	0.909035	1	-0.9366795366795366	-0.8459595894082841	0	No data	255	No data	-1	-1
SETD2	0.6350244623766564	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9011683045856492	0.5217548397351771	No data	No data	No data	No data	No data	0.5832003020866144	No data	No data	No data	0	0	1	1	0	0.0386099999999999	1	-0.9694429123000552	-0.8994830921602622	0	No data	255	0	-1	-1
CD274	0.6296663933142267	0.6085944724833778	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8037351753423639	No data	No data	0.607930797611621	No data	No data	No data	0.9857395692069072	No data	No data	1	1	1	1	1	0	0	1	-0.7129619415333701	-0.7576952072276649	0	No data	No data	0	0.5	0
H3-3B	0.6294647839346496	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0.882763594292089	No data	No data	No data	No data	No data	0.607930797611621	0.030396539880581056	No data	No data	No data	0	0	0	0	0	No data	No data	-0.7036955322669609	-0.7640481721934572	0	No data	No data	-1	0.5	-1
PDCD1	0.6284169474123583	0.9848625507831473	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9767122012433593	No data	No data	1	1	0	1	1	0	0	No data	-0.13414230557087703	-0.9377049566033746	0	No data	No data	No data	0.5	0.5
MTOR	0.6283407193526493	0.3501934698741943	No data	No data	0	No data	No data	No data	No data	No data	No data	0.9275541898986537	No data	No data	No data	No data	No data	No data	0.8311596348656148	No data	No data	1	0	0	1	1	0	0.9470399999999998	1	-0.9104247104247104	-0.921253389889535	-1	255	255	0	-1	-1
IKZF1	0.6276416398708594	No data	0.4214785360245001	No data	0	No data	No data	No data	No data	No data	No data	0.9028967855910526	0.16216171911140437	No data	No data	No data	No data	No data	0.49107603389780735	No data	No data	No data	0	0	1	1	0	0.6242750000000001	0	-0.8717043574186432	-0.9049385575092252	0	No data	255	0	0.75	0
