ID,Gene.symbol,Gene.title,log2(fold change),-log10(Pvalue)
221781_s_at,DNAJC10,DnaJ heat shock protein family (Hsp40) member C10,3.114,10.937
218976_at,DNAJC12,DnaJ heat shock protein family (Hsp40) member C12,3.327,6.618
223721_s_at,DNAJC12,DnaJ heat shock protein family (Hsp40) member C12,4.546,9.497
1558080_s_at,DNAJC3,DnaJ heat shock protein family (Hsp40) member C3,3.307,11.431
1553105_s_at,DSG2,desmoglein 2,4.374,12.14
204455_at,DST,dystonin,-3.835,3.741
209457_at,DUSP5,dual specificity phosphatase 5,3.873,8.377
227646_at,EBF1,early B-cell factor 1,-3.128,10.847
204271_s_at,EDNRB,endothelin receptor type B,-3.304,9.377
205321_at,EIF2S3,eukaryotic translation initiation factor 2 subunit gamma,3.433,6.507
201123_s_at,EIF5A,eukaryotic translation initiation factor 5A,4.905,6.495
220625_s_at,ELF5,E74 like ETS transcription factor 5,-5.634,7.472
220386_s_at,EML4,echinoderm microtubule associated protein like 4,3.041,8.037
217294_s_at,ENO1,enolase 1,4.638,9.372
227803_at,ENPP5,ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative),3.34,5.682
221487_s_at,ENSA,endosulfine alpha,3.679,12.825
228851_s_at,ENSA,endosulfine alpha,3.502,14.247
232164_s_at,EPPK1,epiplakin 1,3.21,4.383
218342_s_at,ERMP1,endoplasmic reticulum metallopeptidase 1,3.526,14.876
227450_at,ERP27,endoplasmic reticulum protein 27,3.929,5.018
205225_at,ESR1,estrogen receptor 1,3.539,7.383
219121_s_at,ESRP1,epithelial splicing regulatory protein 1,4.692,19.607
219017_at,ETNK1,ethanolamine kinase 1,3.616,12.079
226432_at,ETNK1,ethanolamine kinase 1,3.023,11.122
227232_at,EVL,Enah/Vasp-like,3.056,10.703
205200_at,EXOSC7///CLEC3B,exosome component 7///C-type lectin domain family 3 member B,-4.249,12.137
208621_s_at,EZR,ezrin,4.159,11.693
208622_s_at,EZR,ezrin,5.3,18.813
217234_s_at,EZR,ezrin,4.278,13.366
203980_at,FABP4,fatty acid binding protein 4,-5.931,7.255
235978_at,FABP4,fatty acid binding protein 4,-5.67,10.299
205030_at,FABP7,fatty acid binding protein 7,-4.583,15.724
209074_s_at,FAM107A,family with sequence similarity 107 member A,-3.842,12.977
1555948_s_at,FAM120A,family with sequence similarity 120A,3.36,16.424
213900_at,FAM189A2,family with sequence similarity 189 member A2,-3.765,8.75
225327_at,FAM214A,family with sequence similarity 214 member A,3.465,10.367
228638_at,FAM76A,family with sequence similarity 76 member A,3.176,9.968
209955_s_at,FAP,fibroblast activation protein alpha,4.887,13.727
202765_s_at,FBN1,fibrillin 1,4.794,10.471
209696_at,FBP1,fructose-bisphosphatase 1,3.107,8.521
216950_s_at,FCGR1CP///FCGR1B///FCGR1A,"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia",3.032,7.659
204006_s_at,FCGR3B///FCGR3A,Fc fragment of IgG receptor IIIb///Fc fragment of IgG receptor IIIa,3.512,5.447
205588_s_at,FGFR1OP,FGFR1 oncogene partner,3.063,13.533
204379_s_at,FGFR3,fibroblast growth factor receptor 3,3.797,6.174
201540_at,FHL1,four and a half LIM domains 1,-3.227,9.253
238964_at,FIGN,"fidgetin, microtubule severing factor",-3.455,17.552
200894_s_at,FKBP4,FK506 binding protein 4,3.109,10.363
211726_s_at,FMO2,flavin containing monooxygenase 2,-3.734,6.781
210495_x_at,FN1,fibronectin 1,3.578,16.921
211719_x_at,FN1,fibronectin 1,3.442,15.586
212464_s_at,FN1,fibronectin 1,3.727,16.514
216442_x_at,FN1,fibronectin 1,3.628,16.107
226930_at,FNDC1,fibronectin type III domain containing 1,5.055,13.257
204437_s_at,FOLR1,folate receptor 1,-4.068,11.017
211074_at,FOLR1,folate receptor 1,3.631,8.673
209189_at,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit",4.44,5.989
204667_at,FOXA1,forkhead box A1,3.844,17.821
237086_at,FOXA1,forkhead box A1,5.954,14.824
1553613_s_at,FOXC1,forkhead box C1,-4.086,14.502
210655_s_at,FOXO3B///FOXO3,forkhead box O3B pseudogene///forkhead box O3,3.586,10.664
243689_s_at,FRG1BP,"FSHD region gene 1 family member B, pseudogene",-5.867,20.822
1554260_a_at,FRYL,FRY like transcription coactivator,3.187,14.356
1553622_a_at,FSIP1,fibrous sheath interacting protein 1,4.699,7.095
1565717_s_at,FUS,FUS RNA binding protein,5.309,11.41
205384_at,FXYD1,FXYD domain containing ion transport regulator 1,-4.018,10.751
224642_at,FYTTD1,forty-two-three domain containing 1,3.623,14.87
213524_s_at,G0S2,G0/G1 switch 2,-4.961,8.761
205044_at,GABRP,gamma-aminobutyric acid type A receptor pi subunit,-5.627,7.804
