Gene Symbol,log2FC,p-value,oncogene_score
NFYB,2.70949,2.64615e-10,0.00777862
C6orf211,2.67029,0.00917999,
APPL2,2.39944,2.45219e-10,0.0166927
PSENEN,4.13138,2.11335e-08,0.112708
RAB22A,2.38514,2.31468e-10,0.0821469
TNFRSF12A,2.9909,2.7472e-05,0.104898
GREM1,2.56646,0.000549357,0.115046
PSD3,3.369,0.00601803,0.247307
FZD4,-2.63513,1.33354e-05,0.0969791
NES,-2.94666,1.80528e-09,0.102037
LEPREL1,-2.44329,1.2233e-05,
SMYD3,2.81591,0.00529356,0.11264
EGFL7,-2.36793,2.36825e-08,0.0380021
MARC1,-2.88856,2.19192e-05,
POLR3K,3.56771,1.82044e-09,0.0104517
TESC,-4.44958,1.02129e-07,0.0530878
ITIH5,-4.52495,8.52868e-09,0.100955
PID1,-2.72192,1.15023e-08,0.191173
C12orf5,2.69832,2.29981e-06,
RBP4,-7.52572,0.000150911,0.122224
DACT1,3.66557,0.00119407,0.0774868
SCUBE2,3.24866,0.00482918,0.0948468
TMEM100,-4.39841,4.71976e-05,0.0788498
PCOLCE2,-6.02577,4.71635e-05,0.0259555
CASD1,3.33099,0.0069123,0.152406
CIDEC,-6.70992,0.000142917,0.021905
LAMP5,4.8646,0.00117794,0.00612019
ROBO3,-2.85037,1.78405e-10,0.0516087
SEMA3G,-3.69761,5.25751e-08,0.0169881
SIDT1,2.57573,1.92933e-06,0.0881966
PCDH9,-2.55617,0.00112932,0.0809578
SLC6A14,-3.53564,7.24838e-06,0.0885813
RASIP1,-2.99144,2.01418e-16,0.00837404
ACSM5,-2.37955,0.0027561,0.0198428
TNMD,-5.00529,0.00461274,0.0162869
LRIF1,2.91422,2.91306e-07,
IL17B,-2.54095,0.000110192,0.0662128
RERGL,-3.15769,5.75991e-05,0.0104314
SAMSN1,2.65857,0.0017762,0.00818513
TP53AIP1,-2.44964,3.38014e-08,0.0938126
ROPN1B,-4.1255,2.80315e-07,0.00526138
CCDC170,3.49923,0.00382479,0.558314
ELF5,-4.0314,4.99338e-07,0.123347
DNAH3,-3.054,1.69673e-11,0.00552317
LIMS2,-2.80544,6.07578e-11,0.00656847
RUNX1-IT1,2.82021,8.57907e-05,
C1QTNF3,2.62456,0.000193742,0.0364648
SLC2A10,3.19189,1.69814e-05,0.0150711
MLXIPL,-3.83573,2.14004e-05,0.206698
CIDEA,-5.40571,0.000147028,0.0163509
LEF1,2.82292,0.00104743,0.52033
E2F5,2.55662,0.00400255,0.101078
COL5A2,4.0099,6.89836e-07,0.0678805
VCAN,3.09223,5.11567e-08,0.110585
TNS1,-3.09145,4.98272e-09,0.489288
NTRK2,-3.05373,2.2778e-07,0.579672
PKP1,-2.95592,3.3006e-08,0.030075
HIST1H2BD,3.98973,0.00703939,
SLC52A2,3.545,0.0085698,0.104138
CERS2,2.63289,5.73219e-06,0.0667939
PDE3B,-4.3095,0.00209593,0.104935
PPP2R1B,-3.85106,3.04362e-05,0.344503
SEC61A1,4.49481,3.18132e-07,0.031209
COPZ1,2.61009,1.78627e-11,0.0214356
PNRC2,2.52988,3.41935e-07,0.0018479
ARL8B,2.9186,1.98035e-10,0.0361646
