Entrez ID,Gene Symbol,LogFC,p-value,oncogeneScore
23624,CBLC,-4.60408,8.98682e-10,0.294763
80157,CWH43,-4.1272,4.57722e-07,
1149,CIDEA,-4.25612,9.60811e-05,
27178,IL37,-3.94253,2.69456e-06,0.0455125
55620,STAP2,-2.31803,7.16978e-10,0.00986573
400961,PAIP2B,-2.32572,1.89394e-06,0.00147832
2940,GSTA3,-3.23245,6.5835e-05,0.00147832
26525,IL36RN,-2.99842,1.58674e-05,0.00277185
25818,KLK5,-3.71699,2.31025e-08,0.00147832
83643,CCDC3,-2.89045,3.38873e-06,0.00389154
81607,PVRL4,-2.74113,2.60094e-09,
84283,TMEM79,-3.42869,1.76299e-08,0.00517412
64073,C19orf33,-5.30105,2.49231e-07,
57864,SLC46A2,-3.17729,2.63773e-06,
84290,CAPNS2,-3.04732,6.36049e-07,
84649,DGAT2,-3.94705,8.77351e-06,0.00995812
84518,CNFN,-4.21332,5.07351e-06,
114569,MAL2,-4.08322,5.83923e-08,0.00406538
126917,IFFO2,-2.82714,2.67499e-09,
151354,FAM84A,-3.01371,2.28167e-07,
120224,TMEM45B,-2.98098,3.15845e-06,
642587,MIR205HG,-3.34975,3.70035e-09,0.0723373
92421,CHMP4C,-3.42445,1.81384e-06,0.00147832
642273,FAM110C,-3.37314,2.52769e-06,
81706,PPP1R14C,-3.60198,2.51804e-07,0.00258706
93099,DMKN,-4.55057,6.40878e-09,0.0851545
84958,SYTL1,-2.64346,5.38471e-07,
119391,GSTO2,-2.41627,2.0201e-08,0.0036958
143662,MUC15,-3.63852,1.2681e-06,0.00811022
25791,NGEF,-2.67975,1.27814e-06,
94234,FOXQ1,-4.19538,2.28351e-05,0.202458
389337,ARHGEF37,-2.83219,5.35631e-07,
124220,ZG16B,-2.59362,4.35293e-06,
130576,LYPD6B,-3.20194,1.44416e-08,0.00147832
53833,IL20RB,-4.42738,1.75314e-06,0.0157071
644815,FAM83G,-3.19882,4.77445e-08,
153769,SH3RF2,-3.72633,7.40246e-10,
283848,CES4A,-3.48678,4.74037e-09,0
166824,RASSF6,-3.09376,3.34634e-06,0.0240654
197257,LDHD,-2.83099,0.000113561,
148808,MFSD4,-2.41132,5.2012e-06,
57549,IGSF9,-2.90216,1.62534e-10,0.00626233
92196,DAPL1,-4.27865,2.18251e-05,0.0763593
100505865,LINC00920,2.45672,0.000639961,
257000,TINCR,-3.48998,2.21474e-08,0.0795922
115572,FAM46B,-3.1447,1.67437e-07,
93517,SDR42E1,-2.58601,5.48258e-07,
645638,WFDC21P,-4.34204,5.38369e-07,
285386,TPRG1,-3.44192,2.73093e-05,0.0025718
641649,TMEM91,-2.62413,0.00030662,0
348938,NIPAL4,-4.22582,7.50256e-10,
163259,DENND2C,-2.41639,9.95111e-08,0
388533,KRTDAP,-3.95491,1.83222e-07,0.00517412
100505664,LOC100505664,-4.16202,0.00033523,
148741,ANKRD35,-2.63482,6.98935e-07,0.00208149
147920,IGFL2,-4.64509,1.11255e-05,0
23581,CASP14,-2.39946,2.37123e-07,0.0503117
59082,CARD18,-3.59012,3.58213e-05,
1747,DLX3,-3.80016,1.21513e-08,0.0523597
4909,CGB7,-3.27244,7.14251e-07,
144501,KRT80,-4.70768,4.67277e-09,0.00349048
57451,TENM2,-2.95279,6.77246e-07,
57822,GRHL3,-3.55837,6.3165e-07,
152519,LOC101927157,-2.49176,3.43006e-08,
93429,DKFZp434J0226,-2.71677,0.000234519,
1769,DNAH8,-3.03728,0.000396023,0.0182427
27111,FKBP1A-SDCBP2,-2.48694,1.90027e-09,
728061,LOC728061,-2.43312,0.000115968,
83401,ELOVL3,-5.07657,0.000369791,0.00147832
374897,SBSN,-4.59061,2.30466e-08,
151516,ASPRV1,-3.96181,1.52869e-07,0.0135816
284348,LYPD5,-2.87258,7.51847e-07,0.00201216
126695,KDF1,-3.72545,5.99186e-08,
6706,SPRR2G,-3.792,3.11103e-05,
124975,GGT6,-3.62323,3.43257e-07,0
123099,DEGS2,-4.21555,3.8133e-07,
374454,KRT77,-4.77489,2.14758e-06,
100507533,SOX21-AS1,-2.89907,1.23418e-06,
195814,SDR16C5,-4.20379,4.49622e-07,
647024,C6orf132,-3.27859,7.22071e-08,
151473,SLC16A14,-2.38835,7.50624e-05,0.00147832
201799,TMEM154,-2.65478,1.86848e-05,0.0036958
118932,ANKRD22,-2.4448,3.87616e-05,0.0036958
84985,FAM83A,-2.50742,0.000155227,
130367,SGPP2,-2.87092,4.74509e-09,0.0036958
388585,HES5,-2.77883,3.6645e-05,
64711,HS3ST6,-4.58403,5.40275e-08,
148811,PM20D1,-4.02869,0.000432554,
101927972,LOC101927972,-3.25225,1.76375e-06,
344752,AADACL2,-4.00281,5.40877e-06,
171177,RHOV,-3.59999,6.0602e-08,0.0085722
149708,WFDC5,-4.43151,9.68845e-09,0.00221748
145226,RDH12,-3.45075,5.73462e-08,
84953,MICALCL,-3.06753,5.58003e-07,
100130476,LOC100130476,-2.70997,0.000110836,
126410,CYP4F22,-3.54834,2.50098e-09,0.00147832
