#node1,node2,node1_string_id,node2_string_id,combined_score
CSTA,SPRR1A,9606.ENSP00000264474,9606.ENSP00000357751,0.499
CSTA,SPRR2G,9606.ENSP00000264474,9606.ENSP00000357737,0.499
CSTA,LCE2B,9606.ENSP00000264474,9606.ENSP00000357769,0.499
CSTA,LCE1B,9606.ENSP00000264474,9606.ENSP00000353203,0.499
CSTA,LOR,9606.ENSP00000264474,9606.ENSP00000357731,0.63
CSTA,IVL,9606.ENSP00000264474,9606.ENSP00000357753,0.63
CTNNBIP1,JUP,9606.ENSP00000366474,9606.ENSP00000377508,0.524
CYP3A5,CYP3A7,9606.ENSP00000222982,9606.ENSP00000337450,0.95
CYP4F12,CYP4F2,9606.ENSP00000448998,9606.ENSP00000221700,0.459
CYP4F12,CYP4F8,9606.ENSP00000448998,9606.ENSP00000477567,0.414
CYP4F2,CYP4F3,9606.ENSP00000221700,9606.ENSP00000221307,0.9
CYSRT1,PLLP,9606.ENSP00000386453,9606.ENSP00000219207,0.591
DSC1,DSG3,9606.ENSP00000257198,9606.ENSP00000257189,0.499
DSC1,DSG1,9606.ENSP00000257198,9606.ENSP00000257192,0.716
DSC1,FLG,9606.ENSP00000257198,9606.ENSP00000357789,0.499
DSC1,PKP3,9606.ENSP00000257198,9606.ENSP00000331678,0.598
DSC1,PKP1,9606.ENSP00000257198,9606.ENSP00000263946,0.728
DSC1,JUP,9606.ENSP00000257198,9606.ENSP00000377508,0.717
DSC1,DSP,9606.ENSP00000257198,9606.ENSP00000369129,0.716
DSC2,DSG3,9606.ENSP00000280904,9606.ENSP00000257189,0.499
DSC2,DSG1,9606.ENSP00000280904,9606.ENSP00000257192,0.63
DSC2,PKP1,9606.ENSP00000280904,9606.ENSP00000263946,0.5
DSC2,FLG,9606.ENSP00000280904,9606.ENSP00000357789,0.499
DSC2,JUP,9606.ENSP00000280904,9606.ENSP00000377508,0.63
DSC2,PKP3,9606.ENSP00000280904,9606.ENSP00000331678,0.598
DSC2,DSP,9606.ENSP00000280904,9606.ENSP00000369129,0.63
DSC3,DSG3,9606.ENSP00000353608,9606.ENSP00000257189,0.499
DSC3,DSG1,9606.ENSP00000353608,9606.ENSP00000257192,0.499
DSC3,PKP1,9606.ENSP00000353608,9606.ENSP00000263946,0.5
DSC3,PKP3,9606.ENSP00000353608,9606.ENSP00000331678,0.631
DSC3,FLG,9606.ENSP00000353608,9606.ENSP00000357789,0.499
DSC3,JUP,9606.ENSP00000353608,9606.ENSP00000377508,0.63
DSC3,DSP,9606.ENSP00000353608,9606.ENSP00000369129,0.499
DSG1,FLG,9606.ENSP00000257192,9606.ENSP00000357789,0.605
DSG1,PKP3,9606.ENSP00000257192,9606.ENSP00000331678,0.631
DSG1,PKP1,9606.ENSP00000257192,9606.ENSP00000263946,0.727
DSG1,JUP,9606.ENSP00000257192,9606.ENSP00000377508,0.716
DSG1,DSP,9606.ENSP00000257192,9606.ENSP00000369129,0.716
DSG3,FLG,9606.ENSP00000257189,9606.ENSP00000357789,0.499
DSG3,DSP,9606.ENSP00000257189,9606.ENSP00000369129,0.499
DSG3,PKP1,9606.ENSP00000257189,9606.ENSP00000263946,0.5
DSG3,JUP,9606.ENSP00000257189,9606.ENSP00000377508,0.63
DSG3,PKP3,9606.ENSP00000257189,9606.ENSP00000331678,0.631
DSP,KRT1,9606.ENSP00000369129,9606.ENSP00000252244,0.457
DSP,PKP1,9606.ENSP00000369129,9606.ENSP00000263946,0.729
DSP,PKP3,9606.ENSP00000369129,9606.ENSP00000331678,0.598
DSP,KRT19,9606.ENSP00000369129,9606.ENSP00000355124,0.497
DSP,FLG,9606.ENSP00000369129,9606.ENSP00000357789,0.499
DSP,JUP,9606.ENSP00000369129,9606.ENSP00000377508,0.895
EFNA3,EPHB6,9606.ENSP00000357393,9606.ENSP00000481994,0.499
